iso3,country_name,cost_of_living_index,cpi_and_rent_index,rent_index,groceries_index,restaurant_price_index,purchasing_power_incl_rent_index,quality_of_life_index,safety_index,health_care_index,pollution_index,property_price_to_income_ratio,year_last_update
AFG,Afghanistan,21.362263732859084,12.63229573038409,2.230566642522776,18.404333438968358,15.105835869856165,41.99986740516379,,24.61294339747462,24.77036852036852,84.44057475188711,9.123453435030143,
ALA,Aland Islands,62.160425474977444,40.80177570793671,15.353012494110027,61.440150668263804,69.11381450104285,130.1258367310401,210.33098825971595,72.25961074084806,82.22222222222223,18.045977011494255,5.333333333333333,
ALB,Albania,46.041928603264964,31.099249370028094,13.29509462548883,46.41295375206218,43.89147807561781,48.50514676087243,106.42539810146693,55.63229572498296,48.14005590717919,77.1460185702708,14.79506730534172,
GGY,Guernsey,76.09739853744163,65.7614011715073,53.44609320900196,83.6389118596351,72.49017144563322,138.663770871843,214.74520307559126,75.88935574229693,61.111111111111114,11.49425287356322,11.376564277588168,
DZA,Algeria,27.796140809677855,16.674983892728537,3.424160824315687,37.23527619499542,16.463113395542283,37.9303797043692,107.04334418891693,46.97836559974253,54.521036604486675,63.798327319765356,16.031140920640965,
ASM,American Samoa,,,9.203282840015232,,,,,54.411764705882355,,78.44827586206897,,
AND,Andorra,55.749058901002215,44.71950713916441,31.577831321491935,52.85508252986969,56.109690227466245,132.96897868335253,,86.46325290066885,75.55555555555556,22.978927203065133,8.915616545074867,
AGO,Angola,42.43898038764348,33.95247668602073,23.84083453768916,39.35274254847382,35.08032566894413,212.82356921682694,137.03910304149207,34.16709289729842,36.160714285714285,92.0726279017354,7.93520550951956,
AIA,Anguilla,,,,,93.2188481300885,,,75.07002801120449,77.08333333333333,,1.3589285714285715,
ATG,Antigua And Barbuda,,,33.34715506070317,92.38756941193907,53.036880374117146,,,48.625528642829686,50.0,38.218390804597696,,
ARG,Argentina,41.43085869990058,27.671728322307775,11.277768272086698,41.042939140427045,47.88302058647865,50.49993049883583,124.33652549198983,36.807441907653335,67.7979466707925,50.374297589244016,13.5290061515312,
ARM,Armenia,40.91550026726311,28.843836889312147,14.460488398034288,36.142301457507486,40.43839914628173,44.34476489011368,122.91731804481145,77.8930886242114,59.53183124042663,61.37835057351937,19.057406355784668,
ABW,Aruba,74.40247043435018,50.67994229413677,22.41462552279123,72.71056815649484,69.01147178735498,82.9313775900696,,69.19406444980729,79.16666666666667,33.91065830721003,4.766001119301981,
AUS,Australia,68.97618229184027,52.406347231864714,32.663441498928655,77.67037800100937,66.31130285254507,144.8405746044539,190.40494776656178,52.59198893685917,71.81992003231123,27.88610616273162,8.340877999821275,
AUT,Austria,71.38956818353542,49.94325614952085,24.39004362361979,72.67509401094443,71.57854250776235,125.29554228574176,199.20275318834535,70.67680086821358,77.24665832281875,20.70503838353439,9.732698432104657,
AZE,Azerbaijan,30.865047690150533,20.84219374387273,8.899995169167015,29.413382539110167,35.145976212847344,44.242038713092455,113.28419636132796,68.44825934878787,49.01623385333103,72.02926326808905,17.496317558635795,
BHS,Bahamas,100.28465283028542,76.58494851343845,48.346826254986816,101.36766127421176,113.85470271461588,64.33864393525074,119.88803154233314,43.36116744801116,39.52020202020202,60.75630252100841,7.620413083833832,
BHR,Bahrain,47.394345139483804,35.16492400870971,20.593607657078785,44.773197192997586,46.702230652426465,128.00835091205232,165.08749163081052,77.38244927837412,66.60331384015595,71.56634622423367,5.089655461187021,
BGD,Bangladesh,22.79998626839458,13.507249832196827,2.4349839468209553,26.929165514157173,16.96033140515841,35.80397219645315,73.34814463146805,38.605944815969934,41.96714490689692,85.42980581715791,14.440124965557805,
BRB,Barbados,,,26.08018200405415,74.92810623097529,72.75062839686115,,,55.28643065902388,71.88271604938272,24.391078270388615,14.308172601075885,
BLR,Belarus,31.610369998871775,21.727933572894116,9.953042026683493,31.838066726816226,34.978836590246054,67.23979503068136,137.1177152735681,51.66753208350538,49.780243020331724,44.24492775909181,10.039316580233065,
BEL,Belgium,68.80414965506783,47.774606852657655,22.717973539655905,66.81461349572446,80.66634617437285,130.3909797901287,174.27456394028997,50.60820512072967,75.72379422620575,49.45540302182958,6.130689288914816,
BLZ,Belize,46.75669156903931,31.41603408099493,13.137689512599039,52.12479151832725,39.387510688115654,70.86987914153816,,48.212028456553526,47.368480774376025,52.80135573239022,6.393578359010469,
BEN,Benin,,,4.259383496108419,31.389942412175742,38.31506167643637,,,63.338383430295195,51.388888888888886,97.41379310344827,,
BMU,Bermuda,136.59096659111555,121.957354375973,104.52145199974699,144.02035624091783,147.73441287120016,112.59281852600702,185.2105995275939,63.55293853692378,68.85439360929557,14.948867478025692,8.672848990938261,
BTN,Bhutan,24.03781106984654,14.137007877695495,2.3402323880498614,23.070412885316657,15.577397745960642,78.00636017536183,171.50683461040538,70.21843825249398,73.28042328042328,51.60843920145191,14.060258249641322,
BOL,Bolivia,27.635333628382725,18.832913573378104,8.3448580955393,28.702166041388725,22.370876822176,45.77584671832396,97.48762999388123,35.816062129161764,47.14976881643549,72.59365708532462,11.547771447081148,
BES,Bonaire,,,26.823243149104226,,83.38110975005225,,,62.94642857142858,,,,
BIH,Bosnia And Herzegovina,38.83499510485301,24.68320817773091,7.821399098553479,39.27156612142107,32.04841284111335,69.8428697627854,137.36500358819737,58.84351041706684,54.64819257106475,59.934114177663226,12.727195769286341,
BWA,Botswana,32.168079839510455,20.34001353488045,6.246910181106207,31.348785707890453,29.732345466772315,81.81210725417071,154.5602344024701,48.8814188179305,62.69675925925927,45.65574355679304,10.092143664492164,
